sub,eye,measure,window,peak,compare,cond,value
sub010,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.79974347193073
sub010,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.790139730363827
sub010,open,somatovisual balance,1000pre,sensor,rt,fast,0.801433830727415
sub010,open,somatovisual balance,1000pre,sensor,rt,slow,0.798155132928725
sub010,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.0630026760697759
sub010,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.170920063933974
sub010,closed,visual power,1000pre,sensor,rt,fast,-0.106903424078712
sub010,closed,visual power,1000pre,sensor,rt,slow,-0.0155197753100225
sub010,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.0965677764388597
sub010,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0126707368678265
sub010,closed,laterilsation index,1000pre,sensor,rt,fast,0.299886387954554
sub010,closed,laterilsation index,1000pre,sensor,rt,slow,0.054179658998589
sub010,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.828122003735678
sub010,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.843812295021637
sub010,closed,somatovisual balance,1000pre,sensor,rt,fast,0.866909829074633
sub010,closed,somatovisual balance,1000pre,sensor,rt,slow,0.847181807251179
sub011,open,visual power,1000pre,sensor,accuracy_e,correct_e,1.41889126449477
sub011,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,1.54703684347156
sub011,open,visual power,1000pre,sensor,rt,fast,1.35541452117104
sub011,open,visual power,1000pre,sensor,rt,slow,1.50933282511643
sub011,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.199706192731933
sub011,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.292924334193638
sub011,open,laterilsation index,1000pre,sensor,rt,fast,-0.056833695024685
sub011,open,laterilsation index,1000pre,sensor,rt,slow,0.0433770329040114
sub011,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.838375057038054
sub011,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.848303572255516
sub011,open,somatovisual balance,1000pre,sensor,rt,fast,0.79723253167725
sub011,open,somatovisual balance,1000pre,sensor,rt,slow,0.794575388457356
sub011,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.255070262679793
sub011,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.164681031156184
sub011,closed,visual power,1000pre,sensor,rt,fast,-0.0473444087996315
sub011,closed,visual power,1000pre,sensor,rt,slow,-0.202308189009384
sub011,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0437752997848784
sub011,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.064256420834945
sub011,closed,laterilsation index,1000pre,sensor,rt,fast,-0.00360056047261174
sub011,closed,laterilsation index,1000pre,sensor,rt,slow,0.0392755546961254
sub011,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.810245614800053
sub011,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.821933072131563
sub011,closed,somatovisual balance,1000pre,sensor,rt,fast,0.799369111284753
sub011,closed,somatovisual balance,1000pre,sensor,rt,slow,0.81335742251108
sub012,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.218528325163918
sub012,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.55572938880218
sub012,open,visual power,1000pre,sensor,rt,fast,0.498465574014335
sub012,open,visual power,1000pre,sensor,rt,slow,0.393610804504407
sub012,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0481880546252213
sub012,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.124803012276735
sub012,open,laterilsation index,1000pre,sensor,rt,fast,0.0529365191814873
sub012,open,laterilsation index,1000pre,sensor,rt,slow,0.0629095592981613
sub012,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.87355524483549
sub012,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.888041277442422
sub012,open,somatovisual balance,1000pre,sensor,rt,fast,0.893188658628067
sub012,open,somatovisual balance,1000pre,sensor,rt,slow,0.871883045175287
sub012,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.192453706265474
sub012,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.0690855348292148
