sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,beta,-0.159628770450944
sub001,closed,visual power,Brodmann area 19,fast,rt,500pre,source,beta,-0.158784478750599
sub001,closed,visual power,Brodmann area 19,slow,rt,500pre,source,beta,-0.169199776872768
sub002,open,visual power,vtpm V1,correct,accuracy,500pre,source,alpha,-0.0554332106085978
sub002,open,visual power,vtpm V1,incorrect,accuracy,500pre,source,alpha,-0.255013516649631
sub002,open,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,alpha,0.116897556231834
sub002,open,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,alpha,-0.255013516649631
sub002,open,visual power,vtpm V1,fast,rt,500pre,source,alpha,0.0807847775108113
sub002,open,visual power,vtpm V1,slow,rt,500pre,source,alpha,-0.181433332921349
sub002,open,visual power,vtpm V2,correct,accuracy,500pre,source,alpha,-0.0448734919837292
sub002,open,visual power,vtpm V2,incorrect,accuracy,500pre,source,alpha,-0.0420202258271316
sub002,open,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,alpha,-0.024610330178976
sub002,open,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,alpha,-0.0420202258271316
sub002,open,visual power,vtpm V2,fast,rt,500pre,source,alpha,-0.131426146724579
sub002,open,visual power,vtpm V2,slow,rt,500pre,source,alpha,0.0880951554505315
sub002,open,visual power,vtpm V3,correct,accuracy,500pre,source,alpha,-0.0322226505874277
sub002,open,visual power,vtpm V3,incorrect,accuracy,500pre,source,alpha,0.057484202633742
sub002,open,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,alpha,0.13653846534054
sub002,open,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,alpha,0.057484202633742
sub002,open,visual power,vtpm V3,fast,rt,500pre,source,alpha,0.0758781949945924
sub002,open,visual power,vtpm V3,slow,rt,500pre,source,alpha,-0.0713030683029688
sub002,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,-0.0839911940302799
sub002,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,0.161522831963792
sub002,open,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,-0.0656678699933195
sub002,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,0.161522831963792
sub002,open,visual power,Brodmann area 17,fast,rt,500pre,source,alpha,-0.051855690465106
sub002,open,visual power,Brodmann area 17,slow,rt,500pre,source,alpha,-0.109030669832543
sub002,open,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,-0.172045609026071
sub002,open,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,-0.115807881687804
sub002,open,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,-0.174967841867275
sub002,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,-0.115807881687804
sub002,open,visual power,Brodmann area 18,fast,rt,500pre,source,alpha,-0.187436959856974
sub002,open,visual power,Brodmann area 18,slow,rt,500pre,source,alpha,-0.164190931537711
sub002,open,visual power,Brodmann area 19,correct,accuracy,500pre,source,alpha,-0.131599134591401
sub002,open,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,alpha,-0.0761765800662578
sub002,open,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,-0.176342354879908
sub002,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,-0.0761765800662578
sub002,open,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,-0.178893610526529
sub002,open,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,-0.0637653302671839
sub002,closed,visual power,vtpm V1,correct,accuracy,500pre,source,alpha,0.349434500546454
sub002,closed,visual power,vtpm V1,incorrect,accuracy,500pre,source,alpha,0.570483328998177
sub002,closed,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,alpha,0.341450751450992
sub002,closed,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,alpha,0.570483328998177
sub002,closed,visual power,vtpm V1,fast,rt,500pre,source,alpha,0.506112070153508
sub002,closed,visual power,vtpm V1,slow,rt,500pre,source,alpha,0.286053996562078
sub002,closed,visual power,vtpm V2,correct,accuracy,500pre,source,alpha,0.231203476255459
sub002,closed,visual power,vtpm V2,incorrect,accuracy,500pre,source,alpha,0.242046576805757
sub002,closed,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,alpha,0.217784790741977
sub002,closed,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,alpha,0.242046576805757
sub002,closed,visual power,vtpm V2,fast,rt,500pre,source,alpha,0.339493283716424
sub002,closed,visual power,vtpm V2,slow,rt,500pre,source,alpha,0.223098484748963
sub002,closed,visual power,vtpm V3,correct,accuracy,500pre,source,alpha,0.330376674878841
sub002,closed,visual power,vtpm V3,incorrect,accuracy,500pre,source,alpha,0.414966928068272
sub002,closed,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,alpha,0.276781865302886
sub002,closed,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,alpha,0.414966928068272
sub002,closed,visual power,vtpm V3,fast,rt,500pre,source,alpha,0.399921437162549
sub002,closed,visual power,vtpm V3,slow,rt,500pre,source,alpha,0.285510325233496
sub002,closed,visual power,Brodmann area 17,correct,accuracy,500pre,source,alpha,0.24545845301707
sub002,closed,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,alpha,0.293728064933398
sub002,closed,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.278283453227358
sub002,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,0.293728064933398
