sub,eyes,measure,roi,cond,compare,value
sub005,closed,somato lateralisation index,max,correct_e,accuracy_e,0.00221024696783111
sub005,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.0142178113830073
sub005,closed,somato lateralisation index,max,fast,rt,0.0453520584881983
sub005,closed,somato lateralisation index,max,slow,rt,-0.0528753297428575
sub005,closed,absolute,v1,correct,accuracy,4.76935295083706
sub005,closed,absolute,v1,incorrect,accuracy,4.61439738715529
sub005,closed,absolute,v1,correct_e,accuracy_e,4.79525114915424
sub005,closed,absolute,v1,incorrect_e,accuracy_e,4.61439738715529
sub005,closed,absolute,v1,fast,rt,4.78763039903731
sub005,closed,absolute,v1,slow,rt,4.74431412843179
sub006,open,visual power,v1,correct,accuracy,0.415510743967656
sub006,open,visual power,v1,incorrect,accuracy,0.572125213447935
sub006,open,visual power,v1,correct_e,accuracy_e,0.296911121381293
sub006,open,visual power,v1,incorrect_e,accuracy_e,0.572125213447935
sub006,open,visual power,v1,fast,rt,0.440224586646412
sub006,open,visual power,v1,slow,rt,0.415840330121567
sub006,open,somato lateralisation index,max,correct,accuracy,0.0659319710061902
sub006,open,somato lateralisation index,max,incorrect,accuracy,0.0472025120731024
sub006,open,somato lateralisation index,max,correct_e,accuracy_e,0.0464834967754395
sub006,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.0472025120731024
sub006,open,somato lateralisation index,max,fast,rt,0.0803095662020952
sub006,open,somato lateralisation index,max,slow,rt,0.0460682617744561
sub006,open,absolute,v1,correct,accuracy,2.80315420028407
sub006,open,absolute,v1,incorrect,accuracy,2.80277130806836
sub006,open,absolute,v1,correct_e,accuracy_e,3.01010259831711
sub006,open,absolute,v1,incorrect_e,accuracy_e,2.80277130806836
sub006,open,absolute,v1,fast,rt,2.86948333240302
sub006,open,absolute,v1,slow,rt,2.75863286426583
sub006,closed,visual power,v1,correct,accuracy,0.0753354552275472
sub006,closed,visual power,v1,incorrect,accuracy,0.149349212773349
sub006,closed,visual power,v1,correct_e,accuracy_e,0.0347302814443873
sub006,closed,visual power,v1,incorrect_e,accuracy_e,0.149349212773349
sub006,closed,visual power,v1,fast,rt,0.0170045485596051
sub006,closed,visual power,v1,slow,rt,0.140539640467227
sub006,closed,somato lateralisation index,max,correct,accuracy,0.128351541965579
sub006,closed,somato lateralisation index,max,incorrect,accuracy,0.0835645603012201
sub006,closed,somato lateralisation index,max,correct_e,accuracy_e,0.0708067000545733
sub006,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.0835645603012201
sub006,closed,somato lateralisation index,max,fast,rt,0.166262170852059
sub006,closed,somato lateralisation index,max,slow,rt,0.0947618283021411
sub006,closed,absolute,v1,correct,accuracy,3.75942162701849
sub006,closed,absolute,v1,incorrect,accuracy,3.66681389408879
sub006,closed,absolute,v1,correct_e,accuracy_e,3.61000803091335
sub006,closed,absolute,v1,incorrect_e,accuracy_e,3.66681389408879
sub006,closed,absolute,v1,fast,rt,3.7715907883114
sub006,closed,absolute,v1,slow,rt,3.74736982764174
sub007,open,visual power,v1,correct,accuracy,-0.434350828494536
sub007,open,visual power,v1,incorrect,accuracy,-0.388465163709724
sub007,open,visual power,v1,correct_e,accuracy_e,-0.519266669217673
sub007,open,visual power,v1,incorrect_e,accuracy_e,-0.388465163709724
sub007,open,visual power,v1,fast,rt,-0.435435500522102
sub007,open,visual power,v1,slow,rt,-0.305767251743188
sub007,open,somato lateralisation index,max,correct,accuracy,0.0272165152724862
sub007,open,somato lateralisation index,max,incorrect,accuracy,-0.0474337523104925
sub007,open,somato lateralisation index,max,correct_e,accuracy_e,-0.0328773278474791
sub007,open,somato lateralisation index,max,incorrect_e,accuracy_e,-0.0474337523104925
sub007,open,somato lateralisation index,max,fast,rt,0.061297176529316
sub007,open,somato lateralisation index,max,slow,rt,0.00201239308961787
sub007,open,absolute,v1,correct,accuracy,1.24523022217679
sub007,open,absolute,v1,incorrect,accuracy,1.17800459758024
sub007,open,absolute,v1,correct_e,accuracy_e,1.2749620568456
sub007,open,absolute,v1,incorrect_e,accuracy_e,1.17800459758024
sub007,open,absolute,v1,fast,rt,1.27321209865566
sub007,open,absolute,v1,slow,rt,1.22559544693837
sub007,closed,visual power,v1,correct,accuracy,-0.4969440961959
sub007,closed,visual power,v1,incorrect,accuracy,-0.514435067473106
sub007,closed,visual power,v1,correct_e,accuracy_e,-0.443315618996917
sub007,closed,visual power,v1,incorrect_e,accuracy_e,-0.514435067473106
sub007,closed,visual power,v1,fast,rt,-0.493634356190329
sub007,closed,visual power,v1,slow,rt,-0.503504852615777
sub007,closed,somato lateralisation index,max,correct,accuracy,0.025033126823241
sub007,closed,somato lateralisation index,max,incorrect,accuracy,0.242509220566606
sub007,closed,somato lateralisation index,max,correct_e,accuracy_e,0.0754891884936403
sub007,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.242509220566606
sub007,closed,somato lateralisation index,max,fast,rt,0.050854961556023
sub007,closed,somato lateralisation index,max,slow,rt,-0.00945491612345291
sub007,closed,absolute,v1,correct,accuracy,1.94026207916067
sub007,closed,absolute,v1,incorrect,accuracy,1.57010781040952
sub007,closed,absolute,v1,correct_e,accuracy_e,1.86181082588274
sub007,closed,absolute,v1,incorrect_e,accuracy_e,1.57010781040952
sub007,closed,absolute,v1,fast,rt,2.01955759810863
sub007,closed,absolute,v1,slow,rt,1.89039914715024
sub008,open,visual power,v1,correct,accuracy,0.137015604115424
sub008,open,visual power,v1,incorrect,accuracy,-0.0450969104142032
sub008,open,visual power,v1,correct_e,accuracy_e,0.259332597590267
sub008,open,visual power,v1,incorrect_e,accuracy_e,-0.0450969104142032
sub008,open,visual power,v1,fast,rt,-0.0579391312003006
sub008,open,visual power,v1,slow,rt,0.367676011300194
sub008,open,somato lateralisation index,max,correct,accuracy,0.0131201798909065
sub008,open,somato lateralisation index,max,incorrect,accuracy,0.151768780272503
sub008,open,somato lateralisation index,max,correct_e,accuracy_e,0.234212559124436
sub008,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.151768780272503
sub008,open,somato lateralisation index,max,fast,rt,-0.00650028119572548
sub008,open,somato lateralisation index,max,slow,rt,0.0307925014151816
sub008,open,absolute,v1,correct,accuracy,4.65640531530263
sub008,open,absolute,v1,incorrect,accuracy,4.09277916343065
sub008,open,absolute,v1,correct_e,accuracy_e,4.77081022585742
sub008,open,absolute,v1,incorrect_e,accuracy_e,4.09277916343065
sub008,open,absolute,v1,fast,rt,4.46973297178313
sub008,open,absolute,v1,slow,rt,4.82047300287545
sub008,closed,visual power,v1,correct,accuracy,-0.253954972994649
sub008,closed,visual power,v1,incorrect,accuracy,-0.414753530396863
sub008,closed,visual power,v1,correct_e,accuracy_e,-0.24894834959825
sub008,closed,visual power,v1,incorrect_e,accuracy_e,-0.414753530396863
sub008,closed,visual power,v1,fast,rt,-0.170284736622779
sub008,closed,visual power,v1,slow,rt,-0.337117163872285
sub008,closed,somato lateralisation index,max,correct,accuracy,0.0146043430817022
sub008,closed,somato lateralisation index,max,incorrect,accuracy,0.0698380923090085
sub008,closed,somato lateralisation index,max,correct_e,accuracy_e,-0.138630900797295
sub008,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.0698380923090085
sub008,closed,somato lateralisation index,max,fast,rt,0.021928267310137
sub008,closed,somato lateralisation index,max,slow,rt,0.00823940775813392
