sub,eye,measure,bin,bin_n,pow,perc,rt
sub004,open,relative,b3,3,0.276653963170799,0.875,0.468630952380952
sub004,open,relative,b4,4,1.33547488924438,0.767857142857143,0.467886904761905
sub004,open,relative,b5,5,4.6944233615771,0.910714285714286,0.4434375
sub004,closed,relative,b1,1,-0.47567119741552,0.714285714285714,0.543265306122449
sub004,closed,relative,b2,2,-0.031393163510465,0.795918367346939,0.52969387755102
sub004,closed,relative,b3,3,0.564739003403188,0.857142857142857,0.491785714285714
sub004,closed,relative,b4,4,1.47644911669023,0.795918367346939,0.537380952380952
sub004,closed,relative,b5,5,6.28360702383281,0.795918367346939,0.52641156462585
sub004,open,lat,b1,1,-0.37311752782265,0.821428571428571,0.465848214285714
sub004,open,lat,b2,2,-0.120789512519169,0.875,0.46141369047619
sub004,open,lat,b3,3,0.0135089966956146,0.892857142857143,0.460744047619048
sub004,open,lat,b4,4,0.146596695461848,0.821428571428571,0.47921130952381
sub004,open,lat,b5,5,0.361806698767844,0.892857142857143,0.484479166666667
sub004,closed,lat,b1,1,-0.318229995308331,0.897959183673469,0.539506802721088
sub004,closed,lat,b2,2,-0.13055183277534,0.775510204081633,0.515187074829932
sub004,closed,lat,b3,3,0.0186157643904684,0.755102040816326,0.505493197278912
sub004,closed,lat,b4,4,0.162183674758939,0.775510204081633,0.510969387755102
sub004,closed,lat,b5,5,0.377069823048655,0.755102040816326,0.560646258503401
sub005,open,baseline,b1,1,1.02410614481267e-27,0.654545454545455,0.631621212121212
sub005,open,baseline,b2,2,1.55226250813537e-27,0.545454545454545,0.600560606060606
sub005,open,baseline,b3,3,2.15773133653887e-27,0.618181818181818,0.608
sub005,open,baseline,b4,4,3.07423293563083e-27,0.654545454545455,0.582818181818182
sub005,open,baseline,b5,5,5.61476830577012e-27,0.636363636363636,0.576469696969697
sub005,closed,baseline,b1,1,5.74790634765104e-27,0.576923076923077,0.619919871794872
sub005,closed,baseline,b2,2,1.12359459522326e-26,0.576923076923077,0.595592948717949
sub005,closed,baseline,b3,3,1.66884260761128e-26,0.692307692307692,0.620897435897436
sub005,closed,baseline,b4,4,2.17337874950146e-26,0.442307692307692,0.606891025641026
sub005,closed,baseline,b5,5,3.25647935830561e-26,0.711538461538462,0.572211538461538
