suj,sample_size,perc_trials,bin,itc
5sub027,n=05,090 %,b4,0.141855375398141
5sub027,n=05,090 %,b5,0.139333100973312
5sub021,n=05,100 %,b1,0.0748257604841665
5sub021,n=05,100 %,b2,0.0689287132811938
5sub021,n=05,100 %,b3,0.0651240919722917
5sub021,n=05,100 %,b4,0.0660715686123898
5sub021,n=05,100 %,b5,0.0655297060816413
5sub025,n=05,100 %,b1,0.086981292085747
5sub025,n=05,100 %,b2,0.0849514123124512
5sub025,n=05,100 %,b3,0.078095778383138
5sub025,n=05,100 %,b4,0.0775806957536468
5sub025,n=05,100 %,b5,0.0811564409833566
5sub034,n=05,100 %,b1,0.105296970017231
5sub034,n=05,100 %,b2,0.107382225046057
5sub034,n=05,100 %,b3,0.0983458531409861
5sub034,n=05,100 %,b4,0.0971705947103571
5sub034,n=05,100 %,b5,0.0915546841860278
5sub035,n=05,100 %,b1,0.0954793529776725
5sub035,n=05,100 %,b2,0.0891941907043727
5sub035,n=05,100 %,b3,0.0873618902525045
5sub035,n=05,100 %,b4,0.0891127097591304
5sub035,n=05,100 %,b5,0.0886117670394716
5sub027,n=05,100 %,b1,0.141866471367409
5sub027,n=05,100 %,b2,0.141667522062265
5sub027,n=05,100 %,b3,0.140459452114389
5sub027,n=05,100 %,b4,0.142098270383745
5sub027,n=05,100 %,b5,0.140188243405675
10sub021,n=10,010 %,b1,0.0949647736863829
10sub021,n=10,010 %,b2,0.0900434703390667
10sub021,n=10,010 %,b3,0.0768004575336868
10sub021,n=10,010 %,b4,0.0961396044876157
10sub021,n=10,010 %,b5,0.0769034155023158
10sub025,n=10,010 %,b1,0.112240587059866
10sub025,n=10,010 %,b2,0.105280709773076
10sub025,n=10,010 %,b3,0.0944923446447827
10sub025,n=10,010 %,b4,0.103416383246594
10sub025,n=10,010 %,b5,0.089864033395801
10sub034,n=10,010 %,b1,0.107296848606572
10sub034,n=10,010 %,b2,0.103569632400543
10sub034,n=10,010 %,b3,0.0963745297216477
10sub034,n=10,010 %,b4,0.099185188977068
10sub034,n=10,010 %,b5,0.0972550739409211
10sub035,n=10,010 %,b1,0.106588987900637
10sub035,n=10,010 %,b2,0.0952471438274824
10sub035,n=10,010 %,b3,0.102618382673034
10sub035,n=10,010 %,b4,0.101445060509335
10sub035,n=10,010 %,b5,0.0907015438733712
10sub027,n=10,010 %,b1,0.148734183487224
10sub027,n=10,010 %,b2,0.144997896150084
10sub027,n=10,010 %,b3,0.151997808550451
10sub027,n=10,010 %,b4,0.139557819402888
10sub027,n=10,010 %,b5,0.151362740059223
10sub008,n=10,010 %,b1,0.102461884234822
10sub008,n=10,010 %,b2,0.103748815170777
10sub008,n=10,010 %,b3,0.105460225888953
10sub008,n=10,010 %,b4,0.0973641472686649
10sub008,n=10,010 %,b5,0.0923192745366579
10sub014,n=10,010 %,b1,0.12248925024397
10sub014,n=10,010 %,b2,0.127416326180826
10sub014,n=10,010 %,b3,0.122082460684701
10sub014,n=10,010 %,b4,0.12444933993188
10sub014,n=10,010 %,b5,0.122785116987656
10sub022,n=10,010 %,b1,0.125525482955921
10sub022,n=10,010 %,b2,0.127723967745006
10sub022,n=10,010 %,b3,0.120618165461405
10sub022,n=10,010 %,b4,0.115121307328321
10sub022,n=10,010 %,b5,0.118703182902822
10sub019,n=10,010 %,b1,0.115835570791656
10sub019,n=10,010 %,b2,0.109540961108547
10sub019,n=10,010 %,b3,0.112443870704443
10sub019,n=10,010 %,b4,0.104461068786469
10sub019,n=10,010 %,b5,0.107390822664973
10sub015,n=10,010 %,b1,0.0951513815467788
10sub015,n=10,010 %,b2,0.0904953647132611
10sub015,n=10,010 %,b3,0.101549796968228
10sub015,n=10,010 %,b4,0.0900548656708414
10sub015,n=10,010 %,b5,0.0949370548642928
10sub021,n=10,020 %,b1,0.0789946201877368
10sub021,n=10,020 %,b2,0.0699936523643685
10sub021,n=10,020 %,b3,0.0720698083926353
10sub021,n=10,020 %,b4,0.0657754197003185
10sub021,n=10,020 %,b5,0.0687485573146289
10sub025,n=10,020 %,b1,0.0862105791781607
10sub025,n=10,020 %,b2,0.0947615734741773
10sub025,n=10,020 %,b3,0.0870180710971813
10sub025,n=10,020 %,b4,0.0921166895857421
10sub025,n=10,020 %,b5,0.0891224444993149
10sub034,n=10,020 %,b1,0.107896626499547
10sub034,n=10,020 %,b2,0.107404765804725
10sub034,n=10,020 %,b3,0.108299589065216
10sub034,n=10,020 %,b4,0.115860674364907
10sub034,n=10,020 %,b5,0.08804245092373
10sub035,n=10,020 %,b1,0.108262924634524
10sub035,n=10,020 %,b2,0.091942867749403
10sub035,n=10,020 %,b3,0.0934142767073538
10sub035,n=10,020 %,b4,0.0963194087170385
10sub035,n=10,020 %,b5,0.0952090982866362
10sub027,n=10,020 %,b1,0.134010394018275
10sub027,n=10,020 %,b2,0.132753998067001
10sub027,n=10,020 %,b3,0.136441487971557
10sub027,n=10,020 %,b4,0.135813707847183
10sub027,n=10,020 %,b5,0.137852664903766
10sub008,n=10,020 %,b1,0.0960439922880158
10sub008,n=10,020 %,b2,0.0917366655528776
10sub008,n=10,020 %,b3,0.0789566347953026
10sub008,n=10,020 %,b4,0.093357585767413
10sub008,n=10,020 %,b5,0.0801408344574452
10sub014,n=10,020 %,b1,0.118364484251467
10sub014,n=10,020 %,b2,0.116028799108964
10sub014,n=10,020 %,b3,0.115838319498364
10sub014,n=10,020 %,b4,0.120767645372283
10sub014,n=10,020 %,b5,0.111834412254564
10sub022,n=10,020 %,b1,0.125160775367031
10sub022,n=10,020 %,b2,0.132365849418643
10sub022,n=10,020 %,b3,0.125483552155161
10sub022,n=10,020 %,b4,0.121980246749045
10sub022,n=10,020 %,b5,0.125760639424168
10sub019,n=10,020 %,b1,0.11041497798076
10sub019,n=10,020 %,b2,0.104233935765439
10sub019,n=10,020 %,b3,0.10917199542673
10sub019,n=10,020 %,b4,0.105933855659968
10sub019,n=10,020 %,b5,0.105746635809846
10sub015,n=10,020 %,b1,0.0972320539568758
10sub015,n=10,020 %,b2,0.0874422366741564
10sub015,n=10,020 %,b3,0.100441704898068
10sub015,n=10,020 %,b4,0.0930809941408053
10sub015,n=10,020 %,b5,0.0959565059015782
10sub021,n=10,030 %,b1,0.0789496914255366
10sub021,n=10,030 %,b2,0.0628597869254528
10sub021,n=10,030 %,b3,0.0739988648163811
10sub021,n=10,030 %,b4,0.0648644178910593
10sub021,n=10,030 %,b5,0.0693482217645968
10sub025,n=10,030 %,b1,0.0852996513282424
10sub025,n=10,030 %,b2,0.0830105587708979
10sub025,n=10,030 %,b3,0.0835817233500914
10sub025,n=10,030 %,b4,0.0880561197441264
10sub025,n=10,030 %,b5,0.0867309498360583
10sub034,n=10,030 %,b1,0.107604072500408
10sub034,n=10,030 %,b2,0.107050480319942
10sub034,n=10,030 %,b3,0.107358553367721
10sub034,n=10,030 %,b4,0.105648032501961
10sub034,n=10,030 %,b5,0.0933209918928523
10sub035,n=10,030 %,b1,0.101000286507825
10sub035,n=10,030 %,b2,0.0893458950156788
10sub035,n=10,030 %,b3,0.0874386930311366
10sub035,n=10,030 %,b4,0.0985244500636663
10sub035,n=10,030 %,b5,0.0909794073093397
10sub027,n=10,030 %,b1,0.144846582312012
10sub027,n=10,030 %,b2,0.141872435722495
10sub027,n=10,030 %,b3,0.147035035018275
10sub027,n=10,030 %,b4,0.145130688669182
10sub027,n=10,030 %,b5,0.137961751997545
10sub008,n=10,030 %,b1,0.0905280331236877
10sub008,n=10,030 %,b2,0.0810193125538742
10sub008,n=10,030 %,b3,0.0849012875855152
10sub008,n=10,030 %,b4,0.0849576297148087
10sub008,n=10,030 %,b5,0.0764899892020601
