sub,eye,measure,window,peak,compare,cond,value
sub017,closed,somatovisual balance,500pre,corinne,rt,fast,0.640838084427837
sub017,closed,somatovisual balance,500pre,corinne,rt,slow,0.590586374826413
sub018,open,visual power,500pre,corinne,accuracy_e,correct_e,-0.0598104750953211
sub018,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.017832945374737
sub018,open,visual power,500pre,corinne,rt,fast,0.0340593694766956
sub018,open,visual power,500pre,corinne,rt,slow,-0.117774450110245
sub018,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.130452340253741
sub018,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.104318255493395
sub018,open,laterilsation index,500pre,corinne,rt,fast,0.140242240480794
sub018,open,laterilsation index,500pre,corinne,rt,slow,0.067120473534224
sub018,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.426143076058887
sub018,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.422023559744425
sub018,open,somatovisual balance,500pre,corinne,rt,fast,0.419914987273848
sub018,open,somatovisual balance,500pre,corinne,rt,slow,0.383750405973932
sub018,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.00456808380173321
sub018,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.175545830484775
sub018,closed,visual power,500pre,corinne,rt,fast,-0.00545029427636971
sub018,closed,visual power,500pre,corinne,rt,slow,-0.0568788916844178
sub018,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0340328335204119
sub018,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0886155760484052
sub018,closed,laterilsation index,500pre,corinne,rt,fast,0.0416211452307472
sub018,closed,laterilsation index,500pre,corinne,rt,slow,0.0297965777069813
sub018,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.223959324834953
sub018,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.267632580347084
sub018,closed,somatovisual balance,500pre,corinne,rt,fast,0.238515782220106
sub018,closed,somatovisual balance,500pre,corinne,rt,slow,0.179521321534813
sub020,open,visual power,500pre,corinne,accuracy_e,correct_e,0.040766826363245
sub020,open,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.142971909213506
sub020,open,visual power,500pre,corinne,rt,fast,0.0455418137168464
sub020,open,visual power,500pre,corinne,rt,slow,0.0805691715328183
sub020,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.338339299628713
sub020,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.288010361192504
sub020,open,laterilsation index,500pre,corinne,rt,fast,0.322153707259456
sub020,open,laterilsation index,500pre,corinne,rt,slow,0.333573359723766
sub020,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.760960732546367
sub020,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.725574354381406
sub020,open,somatovisual balance,500pre,corinne,rt,fast,0.773692779367324
sub020,open,somatovisual balance,500pre,corinne,rt,slow,0.73843838303635
sub020,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.371171765136266
sub020,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.435806659275756
sub020,closed,visual power,500pre,corinne,rt,fast,-0.341966237586832
sub020,closed,visual power,500pre,corinne,rt,slow,-0.361281496334996
sub020,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.137120753957765
sub020,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.212831872302012
sub020,closed,laterilsation index,500pre,corinne,rt,fast,0.116650518442307
sub020,closed,laterilsation index,500pre,corinne,rt,slow,0.152435285061988
sub020,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.711261015420479
