sub,eye,bin,perc,rt
sub011,open,b4,0.888888888888889,0.608179012345679
sub011,open,b5,0.925925925925926,0.583873456790123
sub011,closed,b1,0.823529411764706,0.608083333333333
sub011,closed,b2,0.882352941176471,0.600539215686274
sub011,closed,b3,0.882352941176471,0.632712418300654
sub011,closed,b4,0.823529411764706,0.666143790849673
sub011,closed,b5,0.882352941176471,0.645915032679738
sub012,open,b1,0.931034482758621,0.51073275862069
sub012,open,b2,0.879310344827586,0.537830459770115
sub012,open,b3,0.879310344827586,0.5375
sub012,open,b4,0.896551724137931,0.566379310344827
sub012,open,b5,0.827586206896552,0.508534482758621
sub012,closed,b1,0.830188679245283,0.647814465408805
sub012,closed,b2,0.886792452830189,0.644889937106918
sub012,closed,b3,0.905660377358491,0.621383647798742
sub012,closed,b4,0.905660377358491,0.635424528301887
sub012,closed,b5,0.924528301886792,0.646981132075472
sub017,open,b1,0.85,0.711958333333333
sub017,open,b2,0.825,0.708
sub017,open,b3,0.75,0.814375
sub017,open,b4,0.65,0.709645833333333
sub017,open,b5,0.75,0.70267094017094
sub017,closed,b1,0.880952380952381,0.700972222222222
sub017,closed,b2,0.857142857142857,0.689523809523809
sub017,closed,b3,0.69047619047619,0.707023809523809
sub017,closed,b4,0.80952380952381,0.707281746031746
sub017,closed,b5,0.857142857142857,0.7175625
sub018,open,b1,0.792452830188679,0.554009433962264
sub018,open,b2,0.641509433962264,0.608238993710692
sub018,open,b3,0.641509433962264,0.581650943396226
sub018,open,b4,0.641509433962264,0.56624213836478
sub018,open,b5,0.716981132075472,0.597893081761006
sub018,closed,b1,0.551724137931034,0.658811728395062
sub018,closed,b2,0.517241379310345,0.609471153846154
sub018,closed,b3,0.551724137931034,0.593794642857143
sub018,closed,b4,0.655172413793103,0.65093567251462
sub018,closed,b5,0.620689655172414,0.616086309523809
sub020,open,b1,0.714285714285714,0.538571428571428
sub020,open,b2,0.767857142857143,0.547113095238095
sub020,open,b3,0.660714285714286,0.549032738095238
sub020,open,b4,0.75,0.549196428571429
sub020,open,b5,0.732142857142857,0.554717261904762
sub020,closed,b1,0.666666666666667,0.595453216374269
sub020,closed,b2,0.754385964912281,0.538333333333333
sub020,closed,b3,0.649122807017544,0.530672514619883
sub020,closed,b4,0.684210526315789,0.53889880952381
sub020,closed,b5,0.631578947368421,0.527748538011696
sub021,open,b1,0.64,0.581816666666667
sub021,open,b2,0.54,0.602233333333333
sub021,open,b3,0.62,0.606615646258503
sub021,open,b4,0.64,0.585323129251701
sub021,open,b5,0.66,0.62546875
sub021,closed,b1,0.644444444444444,0.596899224806202
sub021,closed,b2,0.644444444444444,0.614107142857143
sub021,closed,b3,0.466666666666667,0.634734848484848
sub021,closed,b4,0.666666666666667,0.505992063492063
sub021,closed,b5,0.711111111111111,0.670425925925926
sub022,open,b1,0.769230769230769,0.591217948717949
sub022,open,b2,0.711538461538462,0.522352941176471
sub022,open,b3,0.807692307692308,0.559134615384615
sub022,open,b4,0.807692307692308,0.517852564102564
sub022,open,b5,0.826923076923077,0.538108974358974
