sub,mod,hemi,wind,cue,cue_cat,pos,peak
yc14,aud,left,cuetarget,left,inf,ipsi,8.1
yc14,aud,right,cuetarget,left,inf,contra,7.8
yc14,mot,left,cuetarget,left,inf,ipsi,7
yc14,mot,right,cuetarget,left,inf,contra,8.1
yc14,vis,left,cuetarget,right,inf,contra,8.5
yc14,vis,right,cuetarget,right,inf,ipsi,8.5
yc14,aud,left,cuetarget,right,inf,contra,7.5
yc14,aud,right,cuetarget,right,inf,ipsi,7.8
yc14,mot,left,cuetarget,right,inf,contra,7
yc14,mot,right,cuetarget,right,inf,ipsi,10.5
yc15,vis,left,precue,unf,unf,unf,10.4
yc15,vis,right,precue,unf,unf,unf,10.4
yc15,aud,left,precue,unf,unf,unf,10.6
yc15,aud,right,precue,unf,unf,unf,11.2
yc15,mot,left,precue,unf,unf,unf,10.9
yc15,mot,right,precue,unf,unf,unf,11.4
yc15,vis,left,precue,left,inf,ipsi,10.3
yc15,vis,right,precue,left,inf,contra,10.3
yc15,aud,left,precue,left,inf,ipsi,10.6
yc15,aud,right,precue,left,inf,contra,11.2
yc15,mot,left,precue,left,inf,ipsi,9.9
yc15,mot,right,precue,left,inf,contra,11.5
yc15,vis,left,precue,right,inf,contra,10.5
yc15,vis,right,precue,right,inf,ipsi,10.5
yc15,aud,left,precue,right,inf,contra,11.8
yc15,aud,right,precue,right,inf,ipsi,11.3
yc15,mot,left,precue,right,inf,contra,11
yc15,mot,right,precue,right,inf,ipsi,11.3
yc15,vis,left,cuetarget,unf,unf,unf,10.3
yc15,vis,right,cuetarget,unf,unf,unf,10.6
yc15,aud,left,cuetarget,unf,unf,unf,10.6
yc15,aud,right,cuetarget,unf,unf,unf,11.3
yc15,mot,left,cuetarget,unf,unf,unf,10.9
yc15,mot,right,cuetarget,unf,unf,unf,11.5
yc15,vis,left,cuetarget,left,inf,ipsi,10.2
yc15,vis,right,cuetarget,left,inf,contra,10.4
yc15,aud,left,cuetarget,left,inf,ipsi,11
yc15,aud,right,cuetarget,left,inf,contra,11.4
yc15,mot,left,cuetarget,left,inf,ipsi,12.3
yc15,mot,right,cuetarget,left,inf,contra,11.5
yc15,vis,left,cuetarget,right,inf,contra,10.3
yc15,vis,right,cuetarget,right,inf,ipsi,10.4
yc15,aud,left,cuetarget,right,inf,contra,11
yc15,aud,right,cuetarget,right,inf,ipsi,11
yc15,mot,left,cuetarget,right,inf,contra,7
yc15,mot,right,cuetarget,right,inf,ipsi,11.4
yc16,vis,left,precue,unf,unf,unf,9.9
yc16,vis,right,precue,unf,unf,unf,10.1
yc16,aud,left,precue,unf,unf,unf,9.5
yc16,aud,right,precue,unf,unf,unf,10.6
yc16,mot,left,precue,unf,unf,unf,7
yc16,mot,right,precue,unf,unf,unf,10.2
yc16,vis,left,precue,left,inf,ipsi,9.9
yc16,vis,right,precue,left,inf,contra,9.9
yc16,aud,left,precue,left,inf,ipsi,10.6
yc16,aud,right,precue,left,inf,contra,10.9
yc16,mot,left,precue,left,inf,ipsi,7
yc16,mot,right,precue,left,inf,contra,10
yc16,vis,left,precue,right,inf,contra,10.3
yc16,vis,right,precue,right,inf,ipsi,9.7
yc16,aud,left,precue,right,inf,contra,9.3
yc16,aud,right,precue,right,inf,ipsi,9.6
yc16,mot,left,precue,right,inf,contra,7.4
yc16,mot,right,precue,right,inf,ipsi,9.5
yc16,vis,left,cuetarget,unf,unf,unf,11.5
yc16,vis,right,cuetarget,unf,unf,unf,10.2
yc16,aud,left,cuetarget,unf,unf,unf,11.5
yc16,aud,right,cuetarget,unf,unf,unf,10.1
yc16,mot,left,cuetarget,unf,unf,unf,7
yc16,mot,right,cuetarget,unf,unf,unf,10.3
yc16,vis,left,cuetarget,left,inf,ipsi,11.5
yc16,vis,right,cuetarget,left,inf,contra,10.9
yc16,aud,left,cuetarget,left,inf,ipsi,10.6
