suj,win,bin,rt,corr,band,pow_alpha,pow_beta,pow_theta,pow_gamma,avg_alpha,avg_beta,avg_theta,avg_gamma,norm_alpha,norm_beta,norm_theta,norm_gamma
sub020,preCue2,b2,0.850198030471802,0.909090909090909,gamma,1.25311743894216e-26,7.7799437553777e-28,1.55825469001275e-27,2.74367248603993e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.0559884464445,0.943136374476525,0.992514746938445,0.774636030466448
sub020,preCue2,b3,0.830116987228394,0.935064935064935,gamma,1.25543420925516e-26,7.78849828966146e-28,1.52717835211643e-27,3.24824671672749e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,1.05794076360773,0.944173411851524,0.972720984185399,0.917095227445759
sub020,preCue2,b4,0.790741205215454,0.935064935064935,gamma,1.03983545804844e-26,8.50498295079961e-28,1.69122345260031e-27,3.92351323333662e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.876258039174221,1.03103043381994,1.07720787098047,1.10774690930448
sub020,preCue2,b5,0.788059949874878,0.87012987012987,gamma,1.16015044215722e-26,8.39772879030305e-28,1.57093609990986e-27,5.59398081296616e-29,1.18667722470013e-26,8.24901251390697e-28,1.57000658662192e-27,3.5418859672559e-29,0.977646168654154,1.01802837323199,1.00059204419641,1.57937914000663
sub020,preGab2,b1,0.767366170883179,0.909090909090909,alpha,2.7467777464234e-27,4.78898741817885e-28,1.35661137189543e-27,3.30389963853169e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.20704151524212,0.571631598938009,0.766607432139225,0.946536010064702
sub020,preGab2,b2,0.889585018157959,0.909090909090909,alpha,5.66187242140365e-27,6.54175014247527e-28,1.69916333486343e-27,3.48170811840474e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.426770111546654,0.780847967902602,0.960180098671014,0.997476458476598
sub020,preGab2,b3,0.771874904632568,0.909090909090909,alpha,9.37176693119899e-27,8.64426860433184e-28,1.83458673462622e-27,3.61265958992711e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.706407654735796,1.03181250073589,1.03670649885787,1.03499281700072
sub020,preGab2,b4,0.870962858200073,0.909090909090909,alpha,1.69747885033058e-26,9.65385809032598e-28,1.90690608762178e-27,3.64057923399321e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.27949410439749,1.15232090924812,1.07757343735069,1.0429915310623
sub020,preGab2,b5,0.847743034362793,0.948051948051948,alpha,3.15787792318509e-26,1.2259892656272e-27,2.05088156935106e-27,3.41373632883015e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,2.38028661407794,1.46338702317538,1.1589325329812,0.978003183395675
sub020,preGab2,b1,0.749814987182617,0.935064935064935,beta,5.43537747558266e-27,3.08856395573372e-28,1.25165369120822e-27,3.22578413190494e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.409697795871124,0.368662641654998,0.707296903168428,0.924156655951052
sub020,preGab2,b2,0.795788049697876,0.922077922077922,beta,1.11133253397527e-26,5.23551278504432e-28,1.70266292948231e-27,3.33678343976871e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.837679612308312,0.624930550707808,0.962157684367174,0.955956908222639
