sub,eye,corr,rt,roi,hemi,pow
sub011,close,correct,all,visual,left,-0.212322870670427
sub011,close,correct,fast,visual,right,-0.129925208408268
sub011,close,correct,slow,visual,right,-0.10281608405722
sub011,close,correct,all,visual,right,-0.114471637884046
sub012,open,incorrect,fast,visual,left,0.874435738822149
sub012,open,incorrect,slow,visual,left,1.23155606026207
sub012,open,incorrect,all,visual,left,1.02943552864457
sub012,open,incorrect,fast,visual,right,0.604841195513089
sub012,open,incorrect,slow,visual,right,-0.107019997382597
sub012,open,incorrect,all,visual,right,0.243461531375837
sub012,open,correct,fast,visual,left,0.58981996574702
sub012,open,correct,slow,visual,left,0.422943858628718
sub012,open,correct,all,visual,left,0.512897742144567
sub012,open,correct,fast,visual,right,0.279012916346773
sub012,open,correct,slow,visual,right,0.31568815784003
sub012,open,correct,all,visual,right,0.296077595830548
sub012,close,incorrect,fast,visual,left,-0.137497716994092
sub012,close,incorrect,slow,visual,left,-0.0785243928044231
sub012,close,incorrect,all,visual,left,-0.139361732965066
sub012,close,incorrect,fast,visual,right,0.668444880166639
sub012,close,incorrect,slow,visual,right,-0.156294212021476
sub012,close,incorrect,all,visual,right,0.124287922268744
sub012,close,correct,fast,visual,left,0.0307103411719639
sub012,close,correct,slow,visual,left,-0.0417019733245872
sub012,close,correct,all,visual,left,-0.000238545351602796
sub012,close,correct,fast,visual,right,0.300652271558197
sub012,close,correct,slow,visual,right,0.191381717443405
sub012,close,correct,all,visual,right,0.245905677895195
sub017,open,incorrect,fast,visual,left,0.870122388097559
sub017,open,incorrect,slow,visual,left,2.18098582211422
sub017,open,incorrect,all,visual,left,1.4577030782122
sub017,open,incorrect,fast,visual,right,1.54545852029631
sub017,open,incorrect,slow,visual,right,0.61425629979829
sub017,open,incorrect,all,visual,right,0.959031646222481
sub017,open,correct,fast,visual,left,-0.0169463682267272
sub017,open,correct,slow,visual,left,0.328595524268232
sub017,open,correct,all,visual,left,0.175266001185182
sub017,open,correct,fast,visual,right,0.335389840811915
sub017,open,correct,slow,visual,right,0.550589155421432
sub017,open,correct,all,visual,right,0.434133273522516
sub017,close,incorrect,fast,visual,left,-0.246075755228967
sub017,close,incorrect,slow,visual,left,0.0213020697416102
sub017,close,incorrect,all,visual,left,-0.12411774518606
sub017,close,incorrect,fast,visual,right,-0.278444970024496
sub017,close,incorrect,slow,visual,right,0.0583505952666022
sub017,close,incorrect,all,visual,right,-0.0890658703810075
sub017,close,correct,fast,visual,left,-0.283467590763669
sub017,close,correct,slow,visual,left,-0.0880554244320849
sub017,close,correct,all,visual,left,-0.192761524539022
sub017,close,correct,fast,visual,right,-0.258612076095373
sub017,close,correct,slow,visual,right,-0.029930944241288
sub017,close,correct,all,visual,right,-0.158746406893211
sub018,open,incorrect,fast,visual,left,0.157998892352433
sub018,open,incorrect,slow,visual,left,0.359500882653091
sub018,open,incorrect,all,visual,left,0.243580402034203
sub018,open,incorrect,fast,visual,right,0.0794433304783394
sub018,open,incorrect,slow,visual,right,0.253709046734339
sub018,open,incorrect,all,visual,right,0.149047776332816
sub018,open,correct,fast,visual,left,0.27995115400596
sub018,open,correct,slow,visual,left,0.176822042397184
sub018,open,correct,all,visual,left,0.224573834628999
sub018,open,correct,fast,visual,right,0.109205903640135
sub018,open,correct,slow,visual,right,-0.0628177031015417
sub018,open,correct,all,visual,right,0.0221191919413944
sub018,close,incorrect,fast,visual,left,-0.141134005641305
sub018,close,incorrect,slow,visual,left,0.175867980297987
sub018,close,incorrect,all,visual,left,-0.0100840608381837
sub018,close,incorrect,fast,visual,right,-0.00327100370881758
sub018,close,incorrect,slow,visual,right,-0.404250689784512
sub018,close,incorrect,all,visual,right,-0.229143125441635
sub018,close,correct,fast,visual,left,0.233582218267021
sub018,close,correct,slow,visual,left,-0.0956784504703811
sub018,close,correct,all,visual,left,0.048888312480928
sub018,close,correct,fast,visual,right,-0.0548456137186699
sub018,close,correct,slow,visual,right,0.31409052852414
sub018,close,correct,all,visual,right,0.140410891831493
sub020,open,incorrect,fast,visual,left,0.219028185688315
sub020,open,incorrect,slow,visual,left,0.163417139413354
