sub,band,stim,cond,bin,acc,rt,sess
"sub&",beta,target,1back,b2,0.9,692,s2
"sub&",gamma,target,1back,b1,0.7,621,s2
"sub&",gamma,target,1back,b2,0.6,654.5,s2
"sub&",slow,first,2back,b1,1,NaN,s2
"sub&",slow,first,2back,b2,1,NaN,s2
"sub&",alpha,first,2back,b1,1,NaN,s2
"sub&",alpha,first,2back,b2,1,NaN,s2
"sub&",beta,first,2back,b1,1,NaN,s2
"sub&",beta,first,2back,b2,1,NaN,s2
"sub&",gamma,first,2back,b1,1,NaN,s2
"sub&",gamma,first,2back,b2,1,NaN,s2
"sub&",slow,target,2back,b1,0.8,543,s2
"sub&",slow,target,2back,b2,0.7,585,s2
"sub&",alpha,target,2back,b1,0.8,567.5,s2
"sub&",alpha,target,2back,b2,0.7,584,s2
"sub&",beta,target,2back,b1,0.7,502,s2
"sub&",beta,target,2back,b2,0.8,584.5,s2
"sub&",gamma,target,2back,b1,0.8,567,s2
"sub&",gamma,target,2back,b2,0.7,666,s2
"sub'",slow,first,2back,b1,1,NaN,s1
"sub'",slow,first,2back,b2,1,NaN,s1
"sub'",alpha,first,2back,b1,1,NaN,s1
"sub'",alpha,first,2back,b2,1,NaN,s1
"sub'",beta,first,2back,b1,1,NaN,s1
"sub'",beta,first,2back,b2,1,NaN,s1
"sub'",gamma,first,2back,b1,1,NaN,s1
"sub'",gamma,first,2back,b2,1,NaN,s1
"sub'",slow,target,2back,b1,0.777777777777778,853,s1
"sub'",slow,target,2back,b2,0.888888888888889,642.5,s1
"sub'",alpha,target,2back,b1,0.666666666666667,865,s1
"sub'",alpha,target,2back,b2,1,677,s1
"sub'",beta,target,2back,b1,0.666666666666667,835.5,s1
"sub'",beta,target,2back,b2,1,677,s1
"sub'",gamma,target,2back,b1,0.888888888888889,673.5,s1
"sub'",gamma,target,2back,b2,0.777777777777778,877,s1
"sub'",slow,first,1back,b1,1,NaN,s2
"sub'",slow,first,1back,b2,1,NaN,s2
"sub'",alpha,first,1back,b1,1,NaN,s2
"sub'",alpha,first,1back,b2,1,NaN,s2
"sub'",beta,first,1back,b1,1,NaN,s2
"sub'",beta,first,1back,b2,1,NaN,s2
"sub'",gamma,first,1back,b1,1,NaN,s2
"sub'",gamma,first,1back,b2,1,NaN,s2
"sub'",slow,target,1back,b1,1,693,s2
"sub'",slow,target,1back,b2,0.666666666666667,667.5,s2
"sub'",alpha,target,1back,b1,0.777777777777778,686,s2
"sub'",alpha,target,1back,b2,0.888888888888889,667.5,s2
"sub'",beta,target,1back,b1,0.666666666666667,683.5,s2
"sub'",beta,target,1back,b2,1,679,s2
"sub'",gamma,target,1back,b1,0.888888888888889,671,s2
"sub'",gamma,target,1back,b2,0.777777777777778,681,s2
"sub'",slow,first,2back,b1,1,NaN,s2
"sub'",slow,first,2back,b2,0.875,706,s2
"sub'",alpha,first,2back,b1,1,NaN,s2
"sub'",alpha,first,2back,b2,0.875,706,s2
"sub'",beta,first,2back,b1,0.875,706,s2
"sub'",beta,first,2back,b2,1,NaN,s2
"sub'",gamma,first,2back,b1,1,NaN,s2
"sub'",gamma,first,2back,b2,0.875,706,s2
"sub'",slow,target,2back,b1,1,687.5,s2
"sub'",slow,target,2back,b2,0.75,862,s2
"sub'",alpha,target,2back,b1,0.875,697,s2
"sub'",alpha,target,2back,b2,0.875,826,s2
"sub'",beta,target,2back,b1,0.875,678,s2
"sub'",beta,target,2back,b2,0.875,910,s2
"sub'",gamma,target,2back,b1,1,648.5,s2
"sub'",gamma,target,2back,b2,0.75,1149,s2
"sub(",slow,first,2back,b1,0.9,462,s1
"sub(",slow,first,2back,b2,1,NaN,s1
"sub(",alpha,first,2back,b1,1,NaN,s1
"sub(",alpha,first,2back,b2,0.9,462,s1
"sub(",beta,first,2back,b1,1,NaN,s1
"sub(",beta,first,2back,b2,0.9,462,s1
"sub(",gamma,first,2back,b1,0.9,462,s1
"sub(",gamma,first,2back,b2,1,NaN,s1
"sub(",slow,target,2back,b1,0.9,611,s1
"sub(",slow,target,2back,b2,1,510.5,s1
"sub(",alpha,target,2back,b1,0.9,611,s1
"sub(",alpha,target,2back,b2,1,540,s1
"sub(",beta,target,2back,b1,1,513,s1
"sub(",beta,target,2back,b2,0.9,561,s1
"sub(",gamma,target,2back,b1,1,490,s1
"sub(",gamma,target,2back,b2,0.9,565,s1
"sub(",slow,first,1back,b1,1,NaN,s2
"sub(",slow,first,1back,b2,0.9,434,s2
"sub(",alpha,first,1back,b1,1,NaN,s2
"sub(",alpha,first,1back,b2,0.9,434,s2
"sub(",beta,first,1back,b1,1,NaN,s2
"sub(",beta,first,1back,b2,0.9,434,s2
"sub(",gamma,first,1back,b1,1,NaN,s2
"sub(",gamma,first,1back,b2,0.9,434,s2
"sub(",slow,target,1back,b1,1,440,s2
"sub(",slow,target,1back,b2,0.888888888888889,512.5,s2
"sub(",alpha,target,1back,b1,1,419,s2
"sub(",alpha,target,1back,b2,0.888888888888889,543.5,s2
"sub(",beta,target,1back,b1,1,419,s2
"sub(",beta,target,1back,b2,0.888888888888889,534,s2
"sub(",gamma,target,1back,b1,1,471,s2
"sub(",gamma,target,1back,b2,0.888888888888889,534,s2
"sub(",slow,first,2back,b1,1,NaN,s2
"sub(",slow,first,2back,b2,1,NaN,s2
"sub(",alpha,first,2back,b1,1,NaN,s2
"sub(",alpha,first,2back,b2,1,NaN,s2
"sub(",beta,first,2back,b1,1,NaN,s2
"sub(",beta,first,2back,b2,1,NaN,s2
"sub(",gamma,first,2back,b1,1,NaN,s2
"sub(",gamma,first,2back,b2,1,NaN,s2
"sub(",slow,target,2back,b1,0.8,586.5,s2
"sub(",slow,target,2back,b2,1,593.5,s2
"sub(",alpha,target,2back,b1,0.8,556.5,s2
"sub(",alpha,target,2back,b2,1,602.5,s2
"sub(",beta,target,2back,b1,0.9,629,s2
"sub(",beta,target,2back,b2,1,530.5,s2
"sub(",gamma,target,2back,b1,0.8,616.5,s2
"sub(",gamma,target,2back,b2,1,520,s2
"sub)",slow,first,2back,b1,1,NaN,s1
"sub)",slow,first,2back,b2,1,NaN,s1
"sub)",alpha,first,2back,b1,1,NaN,s1
"sub)",alpha,first,2back,b2,1,NaN,s1
"sub)",beta,first,2back,b1,1,NaN,s1
"sub)",beta,first,2back,b2,1,NaN,s1
"sub)",gamma,first,2back,b1,1,NaN,s1
"sub)",gamma,first,2back,b2,1,NaN,s1
"sub)",slow,target,2back,b1,1,527.5,s1
"sub)",slow,target,2back,b2,1,546,s1
"sub)",alpha,target,2back,b1,1,527.5,s1
"sub)",alpha,target,2back,b2,0.9,548,s1
"sub)",beta,target,2back,b1,0.9,603,s1
"sub)",beta,target,2back,b2,1,527.5,s1
"sub)",gamma,target,2back,b1,1,527.5,s1
"sub)",gamma,target,2back,b2,0.9,623,s1
"sub)",slow,first,1back,b1,1,NaN,s2
"sub)",slow,first,1back,b2,1,NaN,s2
"sub)",alpha,first,1back,b1,1,NaN,s2
"sub)",alpha,first,1back,b2,1,NaN,s2
"sub)",beta,first,1back,b1,1,NaN,s2
"sub)",beta,first,1back,b2,1,NaN,s2
"sub)",gamma,first,1back,b1,1,NaN,s2
"sub)",gamma,first,1back,b2,1,NaN,s2
"sub)",slow,target,1back,b1,0.9,541,s2
"sub)",slow,target,1back,b2,1,527,s2
"sub)",alpha,target,1back,b1,1,531.5,s2
"sub)",alpha,target,1back,b2,0.9,532,s2
"sub)",beta,target,1back,b1,0.9,522,s2
"sub)",beta,target,1back,b2,1,537,s2
"sub)",gamma,target,1back,b1,1,521.5,s2
"sub)",gamma,target,1back,b2,0.9,542,s2
"sub)",slow,first,2back,b1,1,NaN,s2
"sub)",slow,first,2back,b2,1,NaN,s2
"sub)",alpha,first,2back,b1,1,NaN,s2
"sub)",alpha,first,2back,b2,1,NaN,s2
"sub)",beta,first,2back,b1,1,NaN,s2
"sub)",beta,first,2back,b2,1,NaN,s2
"sub)",gamma,first,2back,b1,1,NaN,s2
"sub)",gamma,first,2back,b2,1,NaN,s2
"sub)",slow,target,2back,b1,1,608.5,s2
"sub)",slow,target,2back,b2,0.9,676,s2
"sub)",alpha,target,2back,b1,1,538.5,s2
"sub)",alpha,target,2back,b2,0.9,686,s2
"sub)",beta,target,2back,b1,1,538.5,s2
