sub,eye,cue,measure,window,compare,cond,value
sub004,closed,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.136
sub004,closed,left,bal_ip_i,stim500pre,rt,fast,0.138
sub004,closed,left,bal_ip_i,stim500pre,rt,slow,0.043
sub004,closed,right,vis,stim500pre,accuracy,correct,2.965
sub004,closed,right,vis,stim500pre,accuracy,incorrect,3.054
sub004,closed,right,vis,stim500pre,accuracy_e,correct_e,2.532
sub004,closed,right,vis,stim500pre,accuracy_e,incorrect_e,3.054
sub004,closed,right,vis,stim500pre,rt,fast,3.258
sub004,closed,right,vis,stim500pre,rt,slow,2.672
sub004,closed,right,lat,stim500pre,accuracy,correct,0.622
sub004,closed,right,lat,stim500pre,accuracy,incorrect,0.492
sub004,closed,right,lat,stim500pre,accuracy_e,correct_e,0.582
sub004,closed,right,lat,stim500pre,accuracy_e,incorrect_e,0.492
sub004,closed,right,lat,stim500pre,rt,fast,0.689
sub004,closed,right,lat,stim500pre,rt,slow,0.555
sub004,closed,right,bal_ip_v,stim500pre,accuracy,correct,-0.603
sub004,closed,right,bal_ip_v,stim500pre,accuracy,incorrect,-0.578
sub004,closed,right,bal_ip_v,stim500pre,accuracy_e,correct_e,-0.601
sub004,closed,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,-0.578
sub004,closed,right,bal_ip_v,stim500pre,rt,fast,-0.686
sub004,closed,right,bal_ip_v,stim500pre,rt,slow,-0.52
sub004,closed,right,bal_ip_i,stim500pre,accuracy,correct,-0.693
sub004,closed,right,bal_ip_i,stim500pre,accuracy,incorrect,-0.643
sub004,closed,right,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.669
sub004,closed,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.643
sub004,closed,right,bal_ip_i,stim500pre,rt,fast,-0.753
sub004,closed,right,bal_ip_i,stim500pre,rt,slow,-0.633
sub005,open,left,vis,stim500pre,accuracy,correct,0.838
sub005,open,left,vis,stim500pre,accuracy,incorrect,0.615
sub005,open,left,vis,stim500pre,accuracy_e,correct_e,0.939
sub005,open,left,vis,stim500pre,accuracy_e,incorrect_e,0.615
sub005,open,left,vis,stim500pre,rt,fast,0.617
sub005,open,left,vis,stim500pre,rt,slow,1.059
sub005,open,left,lat,stim500pre,accuracy,correct,0.3
sub005,open,left,lat,stim500pre,accuracy,incorrect,0.183
sub005,open,left,lat,stim500pre,accuracy_e,correct_e,0.257
