sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub002,open,auditory lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.164923897458432
sub002,open,auditory lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.268011616753633
sub002,open,auditory lateralisation index,max,fast,rt,500pre,source,alpha,0.236731020675456
sub002,open,auditory lateralisation index,max,slow,rt,500pre,source,alpha,0.0147159942611564
sub002,closed,visual power,Brodmann,correct,accuracy,500pre,source,alpha,0.144753583590145
sub002,closed,visual power,Brodmann,incorrect,accuracy,500pre,source,alpha,0.0183743605079167
sub002,closed,visual power,Brodmann,correct_e,accuracy_e,500pre,source,alpha,0.151372556225721
sub002,closed,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.0183743605079167
sub002,closed,visual power,Brodmann,fast,rt,500pre,source,alpha,0.239719445274169
sub002,closed,visual power,Brodmann,slow,rt,500pre,source,alpha,0.0887368884282392
sub002,closed,auditory power,max,correct,accuracy,500pre,source,alpha,-0.284562847404039
sub002,closed,auditory power,max,incorrect,accuracy,500pre,source,alpha,-0.00738724241206254
sub002,closed,auditory power,max,correct_e,accuracy_e,500pre,source,alpha,-0.300239447831679
sub002,closed,auditory power,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.00738724241206254
sub002,closed,auditory power,max,fast,rt,500pre,source,alpha,-0.212370307293815
sub002,closed,auditory power,max,slow,rt,500pre,source,alpha,-0.318957475764972
sub002,closed,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.00676856003679591
sub002,closed,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,0.0407771809935077
sub002,closed,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.0444087717053664
sub002,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,0.0407771809935077
sub002,closed,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.0829037502931428
sub002,closed,somato lateralisation index,max,slow,rt,500pre,source,alpha,-0.0385139999687058
sub002,closed,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,alpha,0.738344102821477
sub002,closed,somatovisual balance,max-Brodmann,incorrect,accuracy,500pre,source,alpha,0.696628375010101
sub002,closed,somatovisual balance,max-Brodmann,correct_e,accuracy_e,500pre,source,alpha,0.724034050163936
sub002,closed,somatovisual balance,max-Brodmann,incorrect_e,accuracy_e,500pre,source,alpha,0.696628375010101
sub002,closed,somatovisual balance,max-Brodmann,fast,rt,500pre,source,alpha,0.70367069737511
sub002,closed,somatovisual balance,max-Brodmann,slow,rt,500pre,source,alpha,0.758627961615802
sub002,closed,auditory lateralisation index,max,correct,accuracy,500pre,source,alpha,0.102054050522729
sub002,closed,auditory lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.00810912349807555
sub002,closed,auditory lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.10980858552468
sub002,closed,auditory lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.00810912349807555
sub002,closed,auditory lateralisation index,max,fast,rt,500pre,source,alpha,0.244923862567217
sub002,closed,auditory lateralisation index,max,slow,rt,500pre,source,alpha,0.010202894704883
sub002,open,visual power,Brodmann,correct,accuracy,500pre,source,beta,-0.121316911460299
sub002,open,visual power,Brodmann,incorrect,accuracy,500pre,source,beta,0.102902545155818
sub002,open,visual power,Brodmann,correct_e,accuracy_e,500pre,source,beta,0.150378560469626
sub002,open,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,beta,0.102902545155818
sub002,open,visual power,Brodmann,fast,rt,500pre,source,beta,-0.26182146307027
sub002,open,visual power,Brodmann,slow,rt,500pre,source,beta,0.068846258959806
sub002,open,auditory power,max,correct,accuracy,500pre,source,beta,-0.247754491507411
sub002,open,auditory power,max,incorrect,accuracy,500pre,source,beta,-0.345664707073235
sub002,open,auditory power,max,correct_e,accuracy_e,500pre,source,beta,-0.0924297323524033
sub002,open,auditory power,max,incorrect_e,accuracy_e,500pre,source,beta,-0.345664707073235
sub002,open,auditory power,max,fast,rt,500pre,source,beta,-0.380911228702815
sub002,open,auditory power,max,slow,rt,500pre,source,beta,-0.0653084900716661
sub002,open,somato lateralisation index,max,correct,accuracy,500pre,source,beta,-0.0548985566467195
sub002,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,0.120792021982637
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,-0.0132911763832538
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,0.120792021982637
sub002,open,somato lateralisation index,max,fast,rt,500pre,source,beta,-0.0255000385094217
sub002,open,somato lateralisation index,max,slow,rt,500pre,source,beta,-0.0783191743313806
sub002,open,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,beta,0.783840172607473
